,year,Pk,Tm,Player,Yrs,G,MP,PTS,TRB,AST,FGP,F3P,FTP,MPG,PPG,RPG,APG,WS,WS_48,BPM,VORP
386,2019,15,DET,Sekou Doumbouya,3,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-.013,-6.5,-1.8
387,2019,16,ORL,Chuma Okeke,4,189,3832,1189,704,276,.383,.318,.789,20.3,6.3,3.7,1.5,4.4,.055,-1.1,0.9
388,2019,17,BRK,Nickeil Alexander-Walker,5,299,5869,2485,683,659,.407,.354,.730,19.6,8.3,2.3,2.2,6.0,.049,-1.5,0.8
389,2019,18,IND,Goga Bitadze,5,249,3175,1230,856,233,.515,.245,.672,12.8,4.9,3.4,0.9,9.1,.137,0.0,1.6
390,2019,19,SAS,Luka Šamanić,4,86,921,384,210,55,.411,.247,.706,10.7,4.5,2.4,0.6,0.0,.001,-5.6,-0.8
391,2019,20,BOS,Matisse Thybulle,5,332,6957,1586,658,360,.435,.338,.679,21.0,4.8,2.0,1.1,13.2,.091,0.7,4.7
392,2019,21,OKC,Brandon Clarke,5,243,5185,2602,1357,343,.603,.286,.697,21.3,10.7,5.6,1.4,20.2,.187,2.8,6.2
393,2019,22,BOS,Grant Williams,5,364,8231,2558,1311,515,.453,.377,.768,22.6,7.0,3.6,1.4,14.8,.086,-1.9,0.3
394,2019,23,UTA,Darius Bazley,5,237,5536,2113,1244,282,.414,.309,.677,23.4,8.9,5.2,1.2,3.1,.027,-2.4,-0.6
395,2019,24,PHI,Ty Jerome,5,159,2748,1108,294,411,.421,.352,.826,17.3,7.0,1.8,2.6,3.9,.069,-1.6,0.3
396,2019,25,POR,Nassir Little,5,237,3735,1313,688,170,.452,.330,.735,15.8,5.5,2.9,0.7,4.7,.061,-2.6,-0.5
397,2019,26,CLE,Dylan Windler,4,101,1090,319,212,78,.425,.347,.800,10.8,3.2,2.1,0.8,1.6,.072,-1.4,0.2
398,2019,27,BRK,Mfiondu Kabengele,3,55,380,143,81,19,.383,.301,.852,6.9,2.6,1.5,0.3,0.4,.055,-3.6,-0.2
399,2019,28,GSW,Jordan Poole,5,344,9349,5551,907,1249,.419,.336,.878,27.2,16.1,2.6,3.6,9.3,.048,-2.2,-0.4
400,2019,29,SAS,Keldon Johnson,5,293,8762,4782,1621,672,.465,.358,.760,29.9,16.3,5.5,2.3,13.5,.074,-1.3,1.6
401,2019,30,MIL,Kevin Porter Jr.,4,196,5928,3008,842,987,.431,.357,.725,30.2,15.3,4.3,5.0,4.0,.032,-1.6,0.7
404,2019,31,BRK,Nic Claxton,5,241,6142,2490,1882,378,.661,.158,.544,25.5,10.3,7.8,1.6,21.8,.170,1.6,5.6
405,2019,32,PHO,KZ Okpala,4,98,965,222,148,47,.409,.286,.667,9.8,2.3,1.5,0.5,1.0,.050,-4.7,-0.7
406,2019,33,PHI,Carsen Edwards,3,72,706,267,79,52,.364,.297,.758,9.8,3.7,1.1,0.7,0.3,.019,-5.1,-0.5
407,2019,34,PHI,Bruno Fernando,5,203,2179,814,661,143,.544,.122,.650,10.7,4.0,3.3,0.7,3.6,.078,-3.1,-0.6
408,2019,35,ATL,Didi Louzada,2,12,185,43,20,8,.326,.355,1.000,15.4,3.6,1.7,0.7,-0.1,-.034,-8.1,-0.3
409,2019,36,CHO,Cody Martin,5,206,4505,1235,737,475,.442,.317,.651,21.9,6.0,3.6,2.3,5.9,.063,-1.7,0.3
410,2019,37,DAL,Deividas Sirvydis,2,23,160,44,35,6,.300,.314,.500,7.0,1.9,1.5,0.3,-0.1,-.032,-5.9,-0.2
411,2019,38,CHI,Daniel Gafford,5,321,6263,2796,1739,317,.711,.000,.668,19.5,8.7,5.4,1.0,25.2,.193,1.5,5.6
412,2019,39,NOP,Alen Smailagić,2,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.3,-0.1
413,2019,40,SAC,Justin James,2,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.1,-0.2
414,2019,41,GSW,Eric Paschall,3,158,3086,1552,509,214,.494,.326,.758,19.5,9.8,3.2,1.4,5.0,.078,-2.2,-0.1
415,2019,42,PHI,Admiral Schofield,4,131,1372,426,215,78,.417,.326,.782,10.5,3.3,1.6,0.6,1.2,.043,-4.6,-0.9
416,2019,43,MIN,Jaylen Nowell,5,197,3351,1748,425,362,.446,.317,.798,17.0,8.9,2.2,1.8,4.9,.070,-1.9,0.1
417,2019,44,MIA,Bol Bol,5,166,2302,999,605,104,.550,.327,.745,13.9,6.0,3.6,0.6,4.1,.086,-0.6,0.8
418,2019,45,DET,Isaiah Roby,4,151,2858,1159,667,216,.485,.351,.675,18.9,7.7,4.4,1.4,4.0,.068,-2.3,-0.2
419,2019,46,ORL,Talen Horton-Tucker,5,247,5218,2430,700,769,.423,.293,.778,21.1,9.8,2.8,3.1,4.9,.045,-1.9,0.1
420,2019,47,SAC,Ignas Brazdeikis,3,64,838,318,122,58,.416,.315,.686,13.1,5.0,1.9,0.9,0.4,.024,-4.9,-0.6
421,2019,48,LAC,Terance Mann,5,345,7687,2814,1252,669,.503,.373,.793,22.3,8.2,3.6,1.9,18.5,.115,-0.7,2.5
422,2019,49,SAS,Quinndary Weatherspoon,3,42,272,88,32,24,.452,.188,.826,6.5,2.1,0.8,0.6,0.2,.030,-5.5,-0.2
423,2019,50,IND,Jarrell Brantley,3,41,273,110,53,29,.457,.380,.833,6.7,2.7,1.3,0.7,0.6,.108,0.0,0.1
424,2019,51,BOS,Tremont Waters,3,40,407,149,37,85,.354,.296,.960,10.2,3.7,0.9,2.1,0.1,.012,-3.0,-0.1
425,2019,52,CHO,Jalen McDaniels,5,248,4543,1699,829,291,.449,.322,.777,18.3,6.9,3.3,1.2,5.3,.056,-3.3,-1.5
426,2019,53,UTA,Justin Wright-Foreman,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
427,2019,54,PHI,Marial Shayok,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
428,2019,55,NYK,Kyle Guy,3,53,431,165,53,50,.361,.303,.750,8.1,3.1,1.0,0.9,0.1,.006,-4.9,-0.3
431,2019,58,GSW,Miye Oni,3,80,672,145,108,37,.350,.330,.750,8.4,1.8,1.4,0.5,1.0,.070,-2.5,-0.1
432,2019,59,TOR,Dewan Hernandez,1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
434,2020,1,MIN,Anthony Edwards,4,302,10392,6920,1567,1241,.446,.353,.793,34.4,22.9,5.2,4.1,16.5,.076,0.9,7.7
435,2020,2,GSW,James Wiseman,3,147,2794,1344,829,110,.560,.267,.681,19.0,9.1,5.6,0.7,4.3,.073,-3.9,-1.4
436,2020,3,CHO,LaMelo Ball,4,184,5870,3675,1147,1364,.427,.374,.834,31.9,20.0,6.2,7.4,11.6,.095,2.8,7.1
437,2020,4,CHI,Patrick Williams,4,213,5902,2070,889,280,.469,.410,.780,27.7,9.7,4.2,1.3,8.0,.065,-1.9,0.2
438,2020,5,CLE,Isaac Okoro,4,279,7693,2371,800,468,.467,.347,.732,27.6,8.5,2.9,1.7,13.5,.084,-2.2,-0.4
439,2020,6,ATL,Onyeka Okongwu,4,233,4847,1972,1398,226,.640,.318,.754,20.8,8.5,6.0,1.0,17.7,.175,0.2,2.7
440,2020,7,DET,Killian Hayes,4,210,5479,1704,619,1090,.382,.277,.775,26.1,8.1,2.9,5.2,-0.5,-.004,-3.9,-2.7
441,2020,8,NYK,Obi Toppin,4,283,4693,2241,913,300,.520,.351,.768,16.6,7.9,3.2,1.1,12.3,.126,0.9,3.4
442,2020,9,WAS,Deni Avdija,4,287,7518,2826,1714,727,.457,.327,.737,26.2,9.8,6.0,2.5,9.1,.058,-1.9,0.3
443,2020,10,PHO,Jalen Smith,4,207,3406,1766,1075,157,.517,.335,.740,16.5,8.5,5.2,0.8,9.1,.128,-0.4,1.3
444,2020,11,SAS,Devin Vassell,4,239,6419,3239,889,605,.444,.369,.809,26.9,13.6,3.7,2.5,9.7,.072,-0.3,2.7
445,2020,12,SAC,Tyrese Haliburton,4,260,8547,4483,960,2274,.478,.393,.856,32.9,17.2,3.7,8.7,27.2,.153,4.5,14.0
446,2020,13,NOP,Kira Lewis Jr.,4,131,1745,687,169,233,.397,.294,.848,13.3,5.2,1.3,1.8,1.3,.036,-3.5,-0.6
447,2020,14,BOS,Aaron Nesmith,4,243,5054,2029,768,251,.452,.374,.808,20.8,8.3,3.2,1.0,7.6,.072,-2.2,-0.2
448,2020,15,ORL,Cole Anthony,4,253,6701,3385,1168,1032,.418,.343,.851,26.5,13.4,4.6,4.1,8.9,.064,-0.7,2.2
449,2020,16,POR,Isaiah Stewart,4,235,6108,2196,1778,284,.498,.348,.727,26.0,9.3,7.6,1.2,11.1,.087,-2.2,-0.4
450,2020,17,MIN,Aleksej Pokusevski,4,168,3429,1253,778,327,.391,.304,.702,20.4,7.5,4.6,1.9,-0.2,-.002,-3.1,-1.0
451,2020,18,DAL,Josh Green,4,223,4528,1435,605,340,.503,.375,.689,20.3,6.4,2.7,1.5,7.7,.082,-2.3,-0.4
452,2020,19,BRK,Saddiq Bey,4,292,8804,4103,1532,538,.408,.352,.842,30.2,14.1,5.2,1.8,14.6,.079,-0.7,2.9
453,2020,20,MIA,Precious Achiuwa,4,263,5226,2041,1496,258,.481,.307,.608,19.9,7.8,5.7,1.0,9.5,.087,-2.4,-0.5
454,2020,21,PHI,Tyrese Maxey,4,266,8227,4833,778,1086,.468,.396,.862,30.9,18.2,2.9,4.1,22.7,.132,1.2,6.6
455,2020,22,DEN,Zeke Nnaji,4,194,2399,869,476,77,.512,.370,.662,12.4,4.5,2.5,0.4,5.4,.109,-2.9,-0.6
456,2020,23,NYK,Leandro Bolmaro,2,49,309,56,50,28,.270,.227,.846,6.3,1.1,1.0,0.6,-0.3,-.048,-7.8,-0.5
457,2020,24,MIL,R.J. Hampton,4,170,3116,1155,466,307,.408,.338,.679,18.3,6.8,2.7,1.8,0.8,.013,-3.8,-1.4
458,2020,25,OKC,Immanuel Quickley,4,291,7374,3978,980,1012,.421,.375,.857,25.3,13.7,3.4,3.5,18.9,.123,1.1,5.7
459,2020,26,BOS,Payton Pritchard,4,267,4737,2009,645,604,.444,.395,.862,17.7,7.5,2.4,2.3,12.3,.125,0.1,2.6
461,2020,28,LAL,Jaden McDaniels,4,284,7835,2784,1056,399,.484,.354,.729,27.6,9.8,3.7,1.4,11.6,.071,-2.4,-0.8
462,2020,29,TOR,Malachi Flynn,4,213,3032,1168,369,407,.387,.334,.745,14.2,5.5,1.7,1.9,2.8,.045,-2.6,-0.5
463,2020,30,BOS,Desmond Bane,4,244,7069,4253,1020,810,.468,.415,.879,29.0,17.4,4.2,3.3,19.0,.129,2.2,7.5
466,2020,31,DAL,Tyrell Terry,2,13,59,13,6,6,.353,.000,.333,4.5,1.0,0.5,0.5,0.0,-.035,-4.8,0.0
467,2020,32,CHO,Vernon Carey Jr.,3,37,187,72,50,5,.474,.143,.654,5.1,1.9,1.4,0.1,0.2,.058,-6.3,-0.2
468,2020,33,MIN,Daniel Oturu,2,33,188,63,53,10,.431,.167,.706,5.7,1.9,1.6,0.3,0.3,.086,-5.2,-0.2
469,2020,34,PHI,Théo Maledon,4,177,3753,1373,489,518,.372,.310,.793,21.2,7.8,2.8,2.9,-0.2,-.002,-4.6,-2.4
470,2020,35,SAC,Xavier Tillman Sr.,4,227,3940,1355,935,310,.522,.267,.574,17.4,6.0,4.1,1.4,10.3,.125,0.3,2.3
471,2020,36,PHI,Tyler Bey,1,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-.033,-9.5,-0.1
472,2020,37,WAS,Vit Krejci,3,81,1396,358,179,124,.435,.348,.833,17.2,4.4,2.2,1.5,1.4,.047,-4.5,-0.9
473,2020,38,UTA,Saben Lee,4,134,1943,697,260,378,.421,.271,.734,14.5,5.2,1.9,2.8,3.5,.085,-1.4,0.3
